,freq,word
617,287,total
618,77,waste
619,51,time!
620,1,https://t.co/8zj3j7g5el
621,3,@jaydabf:
622,36,video:
623,5,islamist
624,1,mob
625,4,pushes
626,2,teenage
627,21,boy
628,227,off
629,7,roof
630,18,beats
631,495,him
632,4,death!
633,1,https://t.co/xxtlxnnsip
634,47,muslim
635,9,destroys
636,2,statue
637,5,virgin
638,1,mary!
639,1,https://t.co/qhkrfqrtjv
640,2,migrant
641,1,dutch
642,1,crutches!
643,1,https://t.co/11lgbffjdq
644,12,.@foxandfriends
645,3,territory
646,254,things
647,149,having
648,9,economy!
649,1,https://t.co/vb0ao3s18d
650,30,@erictrump:
651,339,#makeamericagreatagain
652,1,https://t.co/q7air0bum2
653,230,republican
654,26,party.
655,65,winner
656,4,ivanka!
657,1,https://t.co/aql4jlvndh
658,23,lawsuit
659,143,leadership
660,48,financial
661,15,protection
662,3,bureau
663,1,cfpb.
664,336,win
665,1,consumer!
666,1,mccullough
667,2,fmr
668,448,said
669,93,public
670,1,misled
671,256,crooked
672,590,hillary
673,7,emails.
674,1,?emails
675,1,endangered
676,1,security.?
677,740,why
678,9,aren?t
679,229,state
680,7,authorities
681,18,this?
682,42,rigged
683,1,corrupt?
684,4,@tuckercarlson
685,134,@seanhannity
686,11,missile
687,12,launch
688,567,it's
689,753,than
690,399,ever
691,17,fund
692,14,gov't
693,4,military!
694,33,shouldn't
695,40,hold
696,3,troop
697,20,funding
698,6,hostage
699,49,amnesty
700,71,ran
701,29,stopping
702,101,immigration
703,21,big.
704,558,can't
705,8,threaten
706,8,shutdown
707,1266,get
708,3,demands.
709,1,@narendramodi:
710,249,wonderful
711,143,meeting
712,150,@ivankatrump
713,9,advisor
714,22,@potus
715,164,leader
716,7,delegation
717,1,@ges2017.
718,11,https://t.c?
719,62,?the
720,69,conference
721,31,board
722,3,sentiment
723,283,its
724,82,highest
725,43,level
726,15,nearly
727,19,17
728,15,november.
729,7,index
730,26,rose
731,1,126.2
732,19,october
733,1,129.5
734,1,notching
735,758,best
736,80,reading
737,189,since
738,13,december
739,1,2000...?
740,1,https://t.co/inott3k8vn
741,2,s&amp;p
742,10,500
743,1,nasdaq
744,43,finished
745,1,highs!
746,1,https://t.co/wjyb9d00hh
747,14,remarks
748,10,roosevelt
749,50,room
750,6,@speakerryan
751,44,secretary
752,49,defense
753,43,james
754,1,mattis.
755,1,https://t.co/lzmqk5jbvh
756,2,?statement
757,94,j.
758,1,#givingtuesday?
759,1,https://t.co/nrfnmixawr
760,26,@ivankatrump:
761,45,prime
762,45,minister
763,1,modi.
764,7,co-hosting
765,14,8th
766,25,annual
767,118,global
768,9,entrepreneurship
769,1,summ?
770,1,?chuck
771,1,nancy?
772,39,keeping
773,155,government
774,131,open
775,12,working.
776,82,problem
777,30,immigrants
778,4,flooding
779,1,unchecked
780,6,substantially
781,63,raise
