word,freq,probability,freq_iterated,probability_iterated
excited,248,0.00150571321020485,249,0.0013732097260749916
when,248,0.00150571321020485,249,0.0013732097260749916
here,241,0.001463213240561971,242,0.0013346054365869396
they,239,0.001451070392092577,240,0.0013235756395903533
thank,238,0.00144499896785788,239,0.0013180607410920601
he,236,0.0014328561193884862,237,0.001307030944095474
make,235,0.001426784695153789,236,0.0013015160455971807
by,229,0.0013903561497456073,230,0.0012684266546074219
let,226,0.0013721418770415164,227,0.0012518819591125425
last,226,0.0013721418770415164,227,0.0012518819591125425
show,225,0.0013660704528068194,226,0.0012463670606142495
keeping,222,0.0013478561801027284,223,0.00122982236511937
got,222,0.0013478561801027284,223,0.00122982236511937
gon,220,0.0013357133316333346,221,0.0012187925681227836
an,217,0.0013174990589292436,218,0.0012022478726279042
had,216,0.0013114276346945467,217,0.0011967329741296112
khloe,216,0.0013114276346945467,217,0.0011967329741296112
watching,215,0.0013053562104598498,216,0.001191218075631318
think,213,0.0012932133619904557,214,0.0011801882786347318
take,211,0.0012810705135210619,212,0.0011691584816381454
going,209,0.0012689276650516678,210,0.0011581286846415592
need,207,0.001256784816582274,208,0.001147098887644973
amazing,207,0.001256784816582274,208,0.001147098887644973
watch,204,0.001238570543878183,205,0.0011305541921500936
shoot,204,0.001238570543878183,205,0.0011305541921500936
has,200,0.001214284846939395,201,0.001108494598156921
morning,196,0.0011899991500006072,197,0.0010864350041637483
kuwtk,193,0.0011717848772965162,194,0.0010698903086688689
family,192,0.0011657134530618193,193,0.0010643754101705759
no,192,0.0011657134530618193,193,0.0010643754101705759
kim,190,0.0011535706045924252,191,0.0010533456131739895
right,187,0.0011353563318883344,188,0.00103680091767911
know,186,0.0011292849076536373,187,0.001031286019180817
too,184,0.0011171420591842434,185,0.0010202562221842306
4,183,0.0011110706349495465,184,0.0010147413236859376
if,182,0.0011049992107148494,183,0.0010092264251876444
ever,180,0.0010928563622454555,181,0.0009981966281910582
kardashians,178,0.0010807135137760615,179,0.0009871668311944718
thanks,176,0.0010685706653066676,177,0.0009761370341978856
people,174,0.0010564278168372738,175,0.0009651072372012993
wow,174,0.0010564278168372738,175,0.0009651072372012993
come,174,0.0010564278168372738,175,0.0009651072372012993
some,173,0.0010503563926025767,174,0.0009595923387030062
cute,173,0.0010503563926025767,174,0.0009595923387030062
ready,170,0.0010321421198984859,171,0.0009430476432081268
kourtney,170,0.0010321421198984859,171,0.0009430476432081268
these,169,0.0010260706956637887,170,0.0009375327447098337
really,168,0.0010199992714290918,169,0.0009320178462115404
robkardashian,168,0.0010199992714290918,169,0.0009320178462115404
life,168,0.0010199992714290918,169,0.0009320178462115404
into,168,0.0010199992714290918,169,0.0009320178462115404
miami,168,0.0010199992714290918,169,0.0009320178462115404
tune,164,0.000995713574490304,165,0.0009099582522183679
there,164,0.000995713574490304,165,0.0009099582522183679
more,161,0.000977499301786213,162,0.0008934135567234885
never,161,0.000977499301786213,162,0.0008934135567234885
off,160,0.000971427877551516,161,0.0008878986582251954
twitter,160,0.000971427877551516,161,0.0008878986582251954
miss,159,0.0009653564533168191,160,0.0008823837597269022
or,158,0.0009592850290821221,159,0.0008768688612286091
little,158,0.0009592850290821221,159,0.0008768688612286091
