word,freq,probability,freq_iterated,probability_iterated
running,118,0.00038552138500191126,119,0.00035273577718955546
2,118,0.00038552138500191126,119,0.00035273577718955546
two,117,0.0003822542546205391,118,0.00034977161099468526
americans,117,0.0003822542546205391,118,0.00034977161099468526
scotland,117,0.0003822542546205391,118,0.00034977161099468526
republican,117,0.0003822542546205391,118,0.00034977161099468526
cruz,117,0.0003822542546205391,118,0.00034977161099468526
leader,116,0.00037898712423916703,117,0.000346807444799815
thing,116,0.00037898712423916703,117,0.000346807444799815
won,115,0.0003757199938577949,116,0.0003438432786049448
top,115,0.0003757199938577949,116,0.0003438432786049448
also,115,0.0003757199938577949,116,0.0003438432786049448
republicans,114,0.00037245286347642275,115,0.0003408791124100746
united,113,0.0003691857330950506,114,0.0003379149462152044
tax,113,0.0003691857330950506,114,0.0003379149462152044
totally,113,0.0003691857330950506,114,0.0003379149462152044
don,113,0.0003691857330950506,114,0.0003379149462152044
person,113,0.0003691857330950506,114,0.0003379149462152044
put,112,0.0003659186027136785,113,0.00033495078002033417
week,112,0.0003659186027136785,113,0.00033495078002033417
tower,111,0.00036265147233230637,112,0.00033198661382546397
talk,111,0.00036265147233230637,112,0.00033198661382546397
donaldtrump,111,0.00036265147233230637,112,0.00033198661382546397
while,110,0.00035938434195093423,111,0.0003290224476305938
own,110,0.00035938434195093423,111,0.0003290224476305938
life,110,0.00035938434195093423,111,0.0003290224476305938
iowa,110,0.00035938434195093423,111,0.0003290224476305938
economy,109,0.0003561172115695621,110,0.0003260582814357235
yes,109,0.0003561172115695621,110,0.0003260582814357235
iran,109,0.0003561172115695621,110,0.0003260582814357235
still,108,0.00035285008118819,109,0.0003230941152408533
wants,108,0.00035285008118819,109,0.0003230941152408533
under,106,0.0003463158204254457,107,0.0003171657828511129
terrible,106,0.0003463158204254457,107,0.0003171657828511129
art,106,0.0003463158204254457,107,0.0003171657828511129
sad,105,0.00034304869004407357,106,0.0003142016166562427
fox,105,0.00034304869004407357,106,0.0003142016166562427
leadership,105,0.00034304869004407357,106,0.0003142016166562427
proud,104,0.0003397815596627015,105,0.0003112374504613725
working,104,0.0003397815596627015,105,0.0003112374504613725
tough,104,0.0003397815596627015,105,0.0003112374504613725
truth,104,0.0003397815596627015,105,0.0003112374504613725
story,103,0.00033651442928132934,104,0.00030827328426650223
bill,103,0.00033651442928132934,104,0.00030827328426650223
wrong,103,0.00033651442928132934,104,0.00030827328426650223
yourself,103,0.00033651442928132934,104,0.00030827328426650223
together,103,0.00033651442928132934,104,0.00030827328426650223
making,102,0.0003332472988999572,103,0.00030530911807163203
luck,102,0.0003332472988999572,103,0.00030530911807163203
without,101,0.00032998016851858505,102,0.00030234495187676184
florida,100,0.00032671303813721297,101,0.0002993807856818916
lot,100,0.00032671303813721297,101,0.0002993807856818916
honor,100,0.00032671303813721297,101,0.0002993807856818916
family,99,0.0003234459077558408,100,0.0002964166194870214
polls,99,0.0003234459077558408,100,0.0002964166194870214
bring,99,0.0003234459077558408,100,0.0002964166194870214
million,99,0.0003234459077558408,100,0.0002964166194870214
fast,99,0.0003234459077558408,100,0.0002964166194870214
military,99,0.0003234459077558408,100,0.0002964166194870214
says,99,0.0003234459077558408,100,0.0002964166194870214
chicago,99,0.0003234459077558408,100,0.0002964166194870214
these,98,0.0003201787773744687,99,0.0002934524532921512
discussing,98,0.0003201787773744687,99,0.0002934524532921512
major,97,0.00031691164699309654,98,0.000290488287097281
find,97,0.00031691164699309654,98,0.000290488287097281
stay,97,0.00031691164699309654,98,0.000290488287097281
lost,97,0.00031691164699309654,98,0.000290488287097281
white,97,0.00031691164699309654,98,0.000290488287097281
old,97,0.00031691164699309654,98,0.000290488287097281
%,96,0.00031364451661172445,97,0.00028752412090241074
w/,96,0.00031364451661172445,97,0.00028752412090241074
party,96,0.00031364451661172445,97,0.00028752412090241074
washington,95,0.0003103773862303523,96,0.00028455995470754055
john,95,0.0003103773862303523,96,0.00028455995470754055
massive,95,0.0003103773862303523,96,0.00028455995470754055
interesting,95,0.0003103773862303523,96,0.00028455995470754055
since,95,0.0003103773862303523,96,0.00028455995470754055
5,94,0.00030711025584898016,95,0.00028159578851267035
jeb,94,0.00030711025584898016,95,0.00028159578851267035
yet,94,0.00030711025584898016,95,0.00028159578851267035
crowd,94,0.00030711025584898016,95,0.00028159578851267035
awesome,93,0.000303843125467608,94,0.0002786316223178001
government,93,0.000303843125467608,94,0.0002786316223178001
someone,92,0.00030057599508623593,93,0.0002756674561229299
numbers,92,0.00030057599508623593,93,0.0002756674561229299
coming,92,0.00030057599508623593,93,0.0002756674561229299
high,92,0.00030057599508623593,93,0.0002756674561229299
interviewed,91,0.0002973088647048638,92,0.0002727032899280597
failing,91,0.0002973088647048638,92,0.0002727032899280597
border,91,0.0002973088647048638,92,0.0002727032899280597
anyone,91,0.0002973088647048638,92,0.0002727032899280597
everything,91,0.0002973088647048638,92,0.0002727032899280597
may,90,0.00029404173432349165,91,0.00026973912373318945
saying,90,0.00029404173432349165,91,0.00026973912373318945
care,90,0.00029404173432349165,91,0.00026973912373318945
both,90,0.00029404173432349165,91,0.00026973912373318945
start,90,0.00029404173432349165,91,0.00026973912373318945
$,90,0.00029404173432349165,91,0.00026973912373318945
focus,90,0.00029404173432349165,91,0.00026973912373318945
once,89,0.0002907746039421195,90,0.00026677495753831926
isis,89,0.0002907746039421195,90,0.00026677495753831926
hear,89,0.0002907746039421195,90,0.00026677495753831926
fake,88,0.00028750747356074736,89,0.00026381079134344906
save,88,0.00028750747356074736,89,0.00026381079134344906
friends,88,0.00028750747356074736,89,0.00026381079134344906
