freq,word,probability,freq_iterated,probability_iterated
30,2,0.0006159784818183685,31,0.0005400320535154345
30,ago,0.0006159784818183685,31,0.0005400320535154345
30,made,0.0006159784818183685,31,0.0005400320535154345
30,had,0.0006159784818183685,31,0.0005400320535154345
29,interested,0.0005954458657577562,30,0.0005226116646923559
29,love,0.0005954458657577562,30,0.0005226116646923559
29,rather,0.0005954458657577562,30,0.0005226116646923559
29,word,0.0005954458657577562,30,0.0005226116646923559
29,being,0.0005954458657577562,30,0.0005226116646923559
29,energy,0.0005954458657577562,30,0.0005226116646923559
29,nothing,0.0005954458657577562,30,0.0005226116646923559
28,friday,0.000574913249697144,29,0.0005051912758692774
28,high,0.000574913249697144,29,0.0005051912758692774
28,odd,0.000574913249697144,29,0.0005051912758692774
28,means,0.000574913249697144,29,0.0005051912758692774
28,could,0.000574913249697144,29,0.0005051912758692774
28,may,0.000574913249697144,29,0.0005051912758692774
27,called,0.0005543806336365316,28,0.00048777088704619886
27,asked,0.0005543806336365316,28,0.00048777088704619886
27,without,0.0005543806336365316,28,0.00048777088704619886
27,long,0.0005543806336365316,28,0.00048777088704619886
27,per,0.0005543806336365316,28,0.00048777088704619886
27,make,0.0005543806336365316,28,0.00048777088704619886
27,during,0.0005543806336365316,28,0.00048777088704619886
27,film,0.0005543806336365316,28,0.00048777088704619886
26,too,0.0005338480175759193,27,0.00047035049822312033
26,summer,0.0005338480175759193,27,0.00047035049822312033
26,enough,0.0005338480175759193,27,0.00047035049822312033
26,yup,0.0005338480175759193,27,0.00047035049822312033
26,also,0.0005338480175759193,27,0.00047035049822312033
26,else,0.0005338480175759193,27,0.00047035049822312033
26,equator,0.0005338480175759193,27,0.00047035049822312033
26,pizza,0.0005338480175759193,27,0.00047035049822312033
26,go,0.0005338480175759193,27,0.00047035049822312033
26,10,0.0005338480175759193,27,0.00047035049822312033
26,twilight,0.0005338480175759193,27,0.00047035049822312033
26,own,0.0005338480175759193,27,0.00047035049822312033
26,pi,0.0005338480175759193,27,0.00047035049822312033
26,next,0.0005338480175759193,27,0.00047035049822312033
26,w/,0.0005338480175759193,27,0.00047035049822312033
26,actually,0.0005338480175759193,27,0.00047035049822312033
25,santa,0.0005133154015153071,26,0.0004529301094000418
25,here,0.0005133154015153071,26,0.0004529301094000418
25,nyc,0.0005133154015153071,26,0.0004529301094000418
25,super,0.0005133154015153071,26,0.0004529301094000418
25,green,0.0005133154015153071,26,0.0004529301094000418
25,tonite,0.0005133154015153071,26,0.0004529301094000418
25,miles,0.0005133154015153071,26,0.0004529301094000418
25,while,0.0005133154015153071,26,0.0004529301094000418
25,stars,0.0005133154015153071,26,0.0004529301094000418
25,times,0.0005133154015153071,26,0.0004529301094000418
25,home,0.0005133154015153071,26,0.0004529301094000418
24,laws,0.0004927827854546948,25,0.00043550972057696327
24,between,0.0004927827854546948,25,0.00043550972057696327
24,baseball,0.0004927827854546948,25,0.00043550972057696327
24,food,0.0004927827854546948,25,0.00043550972057696327
24,thing,0.0004927827854546948,25,0.00043550972057696327
24,bright,0.0004927827854546948,25,0.00043550972057696327
24,21,0.0004927827854546948,25,0.00043550972057696327
24,even,0.0004927827854546948,25,0.00043550972057696327
